name,breakout,poster,doi
Abani Patra,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 50",
Adam Pah,Sustainability of research software and CI — Strathmore B,"Session II, Board 45",https://doi.org/10.6084/m9.figshare.33478894
Alan Chalker,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 3",
Alan Sussman,Building and retaining the CI workforce — Glen Echo,"Session I, Board 3",
Aleksei Aksimentiev,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 53",
Alena Talkachova,,,
Alexey Akimov,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session III, Board 31",https://doi.org/10.6084/m9.figshare.33477331
Amin Mirkouei,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 17",https://doi.org/10.6084/m9.figshare.33428032
Amy Defnet,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 19",https://doi.org/10.6084/m9.figshare.33490426
Amy Walton,,,
Andreas Copan,Sustainability of research software and CI — Strathmore B,,
Andreas Goetz,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B",,
Andrew Rosen,Current challenges / concerns with AI / quantum Computing — Forest Glen,,
Anirban Mandal,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 30; Session II, Board 12; Session III, Board 17",https://doi.org/10.6084/m9.figshare.33416950; https://doi.org/10.6084/m9.figshare.33416968; https://doi.org/10.6084/m9.figshare.33417328
Ankit Srivastava,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 33",
Anthony Kougkas,Sustainability of research software and CI — Strathmore B,"Session III, Board 41",
Anthony Skjellum,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 29",https://doi.org/10.6084/m9.figshare.33432931
Anton Van Der Ven,Sustainability of research software and CI — Strathmore B,"Session I, Board 44",
Antonio Garzon Ramirez,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 21",https://doi.org/10.6084/m9.figshare.33545899
Antonios Tsokaros,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 39",https://doi.org/10.6084/m9.figshare.33548431
Ashley Mcdonald,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 51",
Atanas Rountev,Sustainability of research software and CI — Strathmore B,"Session I, Board 27",
Avelino Arellano,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 6",https://doi.org/10.6084/m9.figshare.33466084
B.S. Manjunath,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session II, Board 41",
Ben Galluzzo,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 13",
Berkay Aydin,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 46",
Bijaya Adhikari,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 25",
Bimal Gaudel,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Bo Xiao,Building and retaining the CI workforce — Glen Echo,"Session III, Board 12",https://doi.org/10.6084/m9.figshare.33470752
Bogdan Nicolae,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 41",
Bonnie Hurwitz,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 1",
Bradford Holden,Sustainability of research software and CI — Strathmore B,"Session II, Board 2",https://doi.org/10.6084/m9.figshare.33442534
Bradley Olsen,Building and retaining the CI workforce — Glen Echo,"Session II, Board 5",
Brandon Rotavera,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 24",
Brian Bockelman,Future directions for cyberinfrastructure — Strathmore A,,
Brian Plancher,Sustainability of research software and CI — Strathmore B,"Session II, Board 46",https://doi.org/10.6084/m9.figshare.33426733
Carol X. Song,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 51",https://doi.org/10.6084/m9.figshare.33457648
Carrie Wall Bell,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 48",
Caterina Strambio-de-castillia,Sustainability of research software and CI — Strathmore B,"Session IV, Board 33",https://doi.org/10.6084/m9.figshare.33454978
Chad Hanna,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 15",https://doi.org/10.6084/m9.figshare.33470959
Charles Nguyen,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 43",https://doi.org/10.6084/m9.figshare.33471970
Charles Sherrill,Sustainability of research software and CI — Strathmore B,"Session IV, Board 5",
Cheng-hsin Cheng,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 20",
Chia-yu Hsu,Building and retaining the CI workforce — Glen Echo,"Session III, Board 5",
Christian Escobar,Sustainability of research software and CI — Strathmore B,,
Colin Morningstar,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 36",https://doi.org/10.6084/m9.figshare.33416419
Curtis Mccully,Sustainability of research software and CI — Strathmore B,"Session I, Board 47",
Dane Morgan,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 8",
Daniel Aliaga,Future directions for cyberinfrastructure — Strathmore A,"Session II, Board 49",
Daniel Shapero,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 38",
Daniel Takabi,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 6",
Darrin York,Sustainability of research software and CI — Strathmore B,"Session IV, Board 26",
Dave May,Sustainability of research software and CI — Strathmore B,"Session IV, Board 31",
Daven Quinn,Sustainability of research software and CI — Strathmore B,"Session II, Board 47",
David Hardy,Sustainability of research software and CI — Strathmore B,"Session II, Board 19",
David Lange,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 1",
David Liu,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session I, Board 45",https://doi.org/10.6084/m9.figshare.33477808
David Nicholson,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 19",
Derek Masseth,Building and retaining the CI workforce — Glen Echo,,https://doi.org/10.6084/m9.figshare.33471157
Desh Ranjan,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 20",
Dhabaleswar K (Dk) Panda,Future directions for cyberinfrastructure — Strathmore A,"Session III, Board 44",
Dimuthu Wannipurage,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 7",
Dinshaw Balsara,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 27",
Drew Davidson,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session III, Board 15",
Elie Kfoury,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session II, Board 13",
Eluned Smith,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 10",
Emanuel Gull,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 6",
Emma Lejeune,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 34",https://doi.org/10.6084/m9.figshare.33536230
Eugene Deprince,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 48",
Eva M Campo,Future directions for cyberinfrastructure — Strathmore A,,
Fabio Miranda,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 2",
Fan Chen,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 30",https://doi.org/10.6084/m9.figshare.33489820
Feng Chen,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 34",
Florence Rabanal,,,
Francesco Paesani,Sustainability of research software and CI — Strathmore B,"Session IV, Board 7",
Franck Cappello,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 15",
Gaurav Harsha,Sustainability of research software and CI — Strathmore B,,
Gerard Lemson,Sustainability of research software and CI — Strathmore B,"Session I, Board 42; Session II, Board 22",
Gil Speyer,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 32",
Gokhan Danabasoglu,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 20",https://doi.org/10.6084/m9.figshare.33441547
Guang Wang,Future directions for cyberinfrastructure — Strathmore A,"Session I, Board 12",https://doi.org/10.6084/m9.figshare.33438493
Hanqi Guo,Future directions for cyberinfrastructure — Strathmore A,,
Hantao Cui,Future directions for cyberinfrastructure — Strathmore A,"Session III, Board 46",https://doi.org/10.6084/m9.figshare.33481534
Hari Sundar,Future directions for cyberinfrastructure — Strathmore A,"Session II, Board 26",
Hasan Jamil,Building and retaining the CI workforce — Glen Echo,,
Helvi Witek,Building and retaining the CI workforce — Glen Echo,"Session I, Board 40",
Henri Casanova,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 13",https://doi.org/10.6084/m9.figshare.33383905
Henry Neeman,Building and retaining the CI workforce — Glen Echo,,
"Hongyi ""Michael"" Wu",Building and retaining the CI workforce — Glen Echo,"Session II, Board 30",
Hongzhi Guo,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 11",https://doi.org/10.6084/m9.figshare.33547351
Huining Li,Building and retaining the CI workforce — Glen Echo,"Session I, Board 31",
Hyowon Park,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 36",https://doi.org/10.6084/m9.figshare.33491110
Ian Lindsay,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 29",
Jacob Gissinger,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 5",
Jaime Cernuda,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 21",
Jeffrey Carver,Building and retaining the CI workforce — Glen Echo,"Session I, Board 35",https://doi.org/10.6084/m9.figshare.33438334
Jeffrey Potoff,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 23",
Jiannan Tian,Sustainability of research software and CI — Strathmore B,"Session III, Board 22",
Jin Wei-kocsis,Future directions for cyberinfrastructure — Strathmore A,"Session IV, Board 38",https://doi.org/10.6084/m9.figshare.33483565
Jindal Shah,Future directions for cyberinfrastructure — Strathmore A,,
Jing Guo,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 9",https://doi.org/10.6084/m9.figshare.33546427
Jing Zhang,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 42",
Jingjing Liang,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 7",https://doi.org/10.6084/m9.figshare.33492763
Jinyuan Jia,Building and retaining the CI workforce — Glen Echo,,
Joanmarie Del Vecchio,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 39",
John Michael Lane,,,
John Stamper,Building and retaining the CI workforce — Glen Echo,"Session I, Board 2",
Jorge Crichigno,Building and retaining the CI workforce — Glen Echo,"Session IV, Board 32",https://doi.org/10.6084/m9.figshare.33471166
Joseph Tulenko,Sustainability of research software and CI — Strathmore B,"Session I, Board 15; Session II, Board 10",
Kaloyan Penev,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 7",https://doi.org/10.6084/m9.figshare.33472957
Kang Shin,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Kasim Selcuk Candan,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 36",https://doi.org/10.6084/m9.figshare.33438439
Kate Cahill,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session II, Board 4",
Kate Keahey,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 31",
Katerina Antypas,,,
Kathryn Hamilton,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session III, Board 37",
Kennie Merz,,,
Kenton Mchenry,Building and retaining the CI workforce — Glen Echo,"Session III, Board 42",
Ketaki Mhaisekar,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 29",https://doi.org/10.60696/uc.33477508
Khalid Jawed,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Kimberly Claffy,Strategies for increasing the visibility of awards and outputs — White Oak A,,
Kobus Van Der Merwe,Sustainability of research software and CI — Strathmore B,"Session III, Board 24",https://doi.org/10.6084/m9.figshare.33438469
Krishna Kumar,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session I, Board 18",
Kristin Myers,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session IV, Board 27",
Kyle Shores,Building and retaining the CI workforce — Glen Echo,,
Lan Li,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session IV, Board 16",
Lisa Perez,Building and retaining the CI workforce — Glen Echo,"Session II, Board 35",
Lishan Yang,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session I, Board 20; Session III, Board 40",
Lonnie Crosby,Building and retaining the CI workforce — Glen Echo,,
Lourdes Salamanca-riba,Current challenges / concerns with AI / quantum Computing — Forest Glen,,
Lu Gao,Future directions for cyberinfrastructure — Strathmore A,,
Lucy Fortson,Current challenges / concerns with AI / quantum Computing — Forest Glen,"Session II, Board 14",
Lydia Kavraki,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session III, Board 52",
Maanak Gupta,Building and retaining the CI workforce — Glen Echo,"Session II, Board 1",https://doi.org/10.6084/m9.figshare.33438553
Manolis Georgoulis,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B",,
Marat Khairoutdinov,"Pursuing, measuring, and communicating scientific and broader impacts — White Oak B","Session II, Board 33",
Marianna Safronova,Future directions for cyberinfrastructure — Strathmore A,"Session II, Board 28",
Mark Behn,Sustainability of research software and CI — Strathmore B,"Session III, Board 16",https://doi.org/10.6084/m9.figshare.33511639
Mark Perri,Sustainability of research software and CI — Strathmore B,"Session II, Board 44",https://doi.org/10.6084/m9.figshare.33471136
Mark Shephard,Strategies for increasing the visibility of awards and outputs — White Oak A,"Session IV, Board 43",https://doi.org/10.6084/m9.figshare.33438571
